STEP	TN	VDD	tCK	PATN	category
HFC	300	1.150V	4000.0PS	RDC_A	0.5G_2_HVDD
HFC	306	1.150V	4000.0PS	WTR_B	0.5G_2_HVDD
HFC	312	1.150V	4000.0PS	ADC_A	0.5G_2_HVDD
HFC	304	1.150V	4000.0PS	CBT_A	0.5G_2_HVDD
HFC	310	1.150V	4000.0PS	WTR_C	0.5G_2_HVDD
HFC	314	1.150V	4000.0PS	ADC_N	0.5G_2_HVDD
HFC	316	1.150V	4000.0PS	API_A	0.5G_2_HVDD
HFC	318	1.150V	4000.0PS	IPM_A	0.5G_2_HVDD
HFC	320	1.150V	4000.0PS	YMA_A	0.5G_2_HVDD
HFC	322	1.150V	4000.0PS	DRBI_A	0.5G_2_HVDD
HFC	324	1.150V	4000.0PS	WBI_A	0.5G_2_HVDD
HFC	369	1.150V	4000.0PS	WTR_B	0.5G_2_HVDD
HFC	301	0.980V	4000.0PS	RDC_A	0.5G_2_LVDD
HFC	305	0.980V	4000.0PS	CBT_A	0.5G_2_LVDD
HFC	307	0.980V	4000.0PS	WTR_B	0.5G_2_LVDD
HFC	311	0.980V	4000.0PS	WTR_C	0.5G_2_LVDD
HFC	313	0.980V	4000.0PS	ADC_A	0.5G_2_LVDD
HFC	315	0.980V	4000.0PS	ADC_N	0.5G_2_LVDD
HFC	317	0.980V	4000.0PS	API_A	0.5G_2_LVDD
HFC	319	0.980V	4000.0PS	IPM_A	0.5G_2_LVDD
HFC	321	0.980V	4000.0PS	YMA_A	0.5G_2_LVDD
HFC	323	0.980V	4000.0PS	DRBI_A	0.5G_2_LVDD
HFC	325	0.980V	4000.0PS	WBI_A	0.5G_2_LVDD
HFC	327	0.980V	4000.0PS	WSY_B	0.5G_2_LVDD
HFC	4996	0.980V	4000.0PS	Z04_A	0.5G_2_LVDD
HFC	335	0.980V	4000.0PS	MRA_A	0.5G_2_LVDD
HFC	337	0.980V	4000.0PS	M04_A	0.5G_2_LVDD
HFC	338	0.980V	4000.0PS	M29_A	0.5G_2_LVDD
HFC	349	0.980V	4000.0PS	NWR_A	0.5G_2_LVDD
HFC	339	0.980V	4000.0PS	LEC_C	0.5G_2_LVDD
HFC	355	0.980V	4000.0PS	ALL_A	0.5G_2_LVDD
