lot_id	step_id	program_name	revno	end_time	part_id	test_count	pass_count	tester_name	tester_number	retest_count	category_01	category_02	final_ng_cnt	site	simax_ncp_code	yld	PKG	MASK	week
PCAX0090I2	T091128	LDCM79D2	0.024	2023-02-09T12:18:15Z	K3KL3L30CM-BGCTTTN-PRD9EA	1990	1986	MAGEPICU	m807	2	0	1986	4405:5,4461:2,4464:1,4466:1,4996:5,9405:5,9461:2,9464:1,9466:2,9467:1,9470:1,9471:1,9477:1,9996:5,	OY	VDXCTMX	0.99798995	K3KL3L30CM-B	D	W6
PCAX069WL2	T091128	LDCM79D2	0.024	2023-02-09T13:37:27Z	K3KL3L30CM-BGCTTTN-PRD9EA	1987	1986	MAGEPICU	m807	2	0	1986	920:1,4405:1,4996:2,5920:1,9405:2,9996:2,	OY	VDXCTMX	0.999496729	K3KL3L30CM-B	D	W6
PCAX159P62	T090128	LDCM79D2	0.023	2023-02-07T02:07:13Z	K3KL3L30CM-BGCT000-PMD9EA	3934	3894	MAGEPICU	m802	2	0	3894	1:1,27:2,300:1,306:1,312:7,313:1,316:1,320:1,323:1,370:1,1125:1,2125:1,2342:1,2684:1,3220:2,3228:1,3391:2,3396:2,3828:3,3829:1,3833:1,3836:5,3872:1,4405:17,4486:1,4996:17,5001:1,5027:2,5262:1,5271:1,5272:1,5273:1,5274:2,5300:1,5301:1,5304:1,5306:2,5307:2,5310:2,5311:2,5312:9,5313:10,5314:8,5315:8,5316:7,5317:7,5318:8,5319:8,5320:10,5321:10,5322:9,5323:11,5324:9,5325:10,5327:2,5335:2,5337:1,5339:9,5343:9,5345:9,5349:4,5355:3,5367:2,5369:2,5370:10,5375:3,5401:8,6030:2,6033:1,6034:1,6039:3,6040:3,6045:1,6046:1,6050:3,6052:1,6055:3,6068:2,6082:2,6098:2,6099:3,6123:1,6125:4,6303:1,6304:1,6305:2,6308:1,6315:2,6316:1,6328:1,6330:1,6333:1,6334:1,6337:2,6340:3,6344:1,6345:1,6350:3,6351:2,6352:1,6353:1,6354:3,6359:1,6361:2,6362:2,6363:2,6372:1,6373:2,6382:3,6398:2,6399:3,6423:1,6489:2,6492:1,6493:2,6494:1,6555:1,7017:2,7019:2,7042:2,7050:3,7099:4,7125:3,7315:1,7342:5,7351:3,7382:2,7495:1,7683:1,7684:2,7689:4,8000:6,8002:6,8004:8,8005:8,8008:8,8015:6,8017:8,8020:8,8022:7,8023:6,8025:8,8026:7,8027:7,8028:7,8030:7,8035:8,8037:5,8041:5,8042:8,8043:8,8044:10,8046:8,8047:8,8051:8,8054:12,8056:10,8063:8,8065:7,8070:5,8071:10,8074:9,8083:8,8088:6,8089:6,8090:6,8091:6,8109:6,8110:7,8112:6,8113:7,8115:7,8116:7,8118:7,8119:5,8128:6,8129:5,8131:6,8132:6,8160:8,8171:10,8172:10,8174:10,8200:8,8201:8,8202:7,8203:8,8204:9,8205:10,8208:10,8215:7,8216:7,8217:9,8220:10,8226:10,8227:8,8228:11,8230:9,8233:9,8234:9,8235:10,8237:7,8245:9,8246:10,8247:10,8248:10,8249:8,8251:9,8252:9,8256:10,8257:12,8260:7,8270:3,8273:6,8274:7,8278:7,8283:5,8287:7,8289:3,8291:3,8292:5,8293:5,8296:4,8301:5,8303:4,8306:4,8316:4,8317:4,8318:4,8325:5,8331:5,8372:5,8373:6,8374:5,8375:5,8377:5,8391:2,8396:3,8800:1,8801:1,8803:2,8810:5,8811:3,8812:3,8813:2,8815:3,8827:1,8828:6,8829:2,8831:1,8832:1,8833:5,8834:2,8835:10,8836:10,8840:1,8871:6,8872:7,8873:5,8874:6,8875:5,8877:5,9110:1,9113:1,9115:1,9118:1,9215:2,9219:3,9226:5,9228:4,9252:3,9302:1,9315:1,9346:1,9377:1,9405:34,9450:1,9473:1,9484:1,9485:1,9486:4,9996:34,	OY	ADAPS62	0.989832232	K3KL3L30CM-B	D	W6
PCAX159S22	T090128	LDCM79D2	0.022	2023-02-05T12:26:16Z	K3KL3L30CM-BGCT000-PMD9EA	484	478	MAGEPICU	m802	2	0	478	337:1,2697:1,3374:1,3391:2,4252:1,4405:1,4996:1,5337:1,6030:1,6033:1,6052:1,6123:1,6125:1,6333:1,6352:1,6423:1,7125:1,7351:1,7697:1,8374:1,8375:1,8391:2,8396:1,8828:1,8829:1,8831:1,8832:1,8833:1,8834:1,8835:1,9252:1,9405:6,9450:1,9473:1,9486:1,9996:6,	OY	ADAPS62	0.987603306	K3KL3L30CM-B	D	W6
PCAX159S52	T091128	LDCM79D2	0.022	2023-02-05T19:13:20Z	K3KL3L30CM-BGCT000-PMD9EA	478	475	MAGEPICU	m813	2	0	475	931:1,2705:2,4405:3,4996:4,5931:1,7705:2,9405:4,9996:4,	OY	ADAPS62	0.993723849	K3KL3L30CM-B	D	W6
PCAX159S82	T090128	LDCM79D2	0.025	2023-02-22T08:02:15Z	K3KL3L30CM-BGCT000-PMD9EA	1051	1040	MAGEPICU	m808	2	0	1040	2:1,312:2,2683:2,3391:2,3396:1,3828:1,3833:1,3836:1,3837:2,4405:4,4996:4,5001:1,5002:1,5051:1,5312:2,5313:2,5314:2,5315:2,5316:2,5317:2,5318:2,5319:2,5320:2,5321:2,5322:2,5323:2,5324:2,5325:2,5339:1,5343:2,5345:2,5370:1,5401:2,6802:1,6805:1,6808:1,7495:1,7683:2,8000:1,8002:1,8004:1,8005:2,8008:2,8015:2,8017:2,8020:2,8025:1,8026:1,8027:2,8028:1,8030:2,8035:1,8037:1,8041:2,8042:2,8043:2,8044:2,8046:2,8047:2,8051:2,8054:2,8056:2,8063:2,8065:2,8070:1,8071:2,8074:2,8083:2,8088:2,8089:2,8091:2,8110:1,8112:1,8113:2,8115:1,8116:2,8119:2,8128:2,8129:1,8131:1,8132:1,8160:2,8171:2,8172:2,8174:2,8200:1,8201:2,8202:1,8203:2,8204:1,8205:2,8208:2,8215:2,8216:2,8217:2,8220:2,8226:2,8227:2,8228:1,8230:2,8233:1,8234:1,8235:2,8237:1,8245:2,8246:2,8247:2,8248:2,8249:2,8251:2,8252:2,8256:2,8257:2,8260:2,8270:2,8273:2,8274:2,8278:2,8283:2,8287:2,8289:2,8291:2,8292:2,8293:2,8296:1,8301:2,8316:1,8391:2,8396:3,8810:1,8812:1,8813:1,8815:1,8828:1,8832:1,8833:2,8835:2,8836:1,8837:2,8871:1,8872:1,8873:1,9405:9,9996:9,	OY	ADAPS62	0.989533777	K3KL3L30CM-B	D	W8
PCAX159S92	T091128	LDCM79D2	0.026	2023-02-26T18:02:08Z	K3KL3L30CM-BGCT000-PMD9EA	1040	1030	MAGEPICU	c602	2	0	1030	371:1,931:1,2705:2,2999:3,3869:2,3873:1,4405:6,4996:7,5028:1,5371:1,5375:1,5931:1,5932:1,5933:1,5934:1,5935:2,7705:2,7999:3,8375:1,8869:3,8870:1,8873:1,9405:11,9996:11,	CA	ADAPS62	0.990384615	K3KL3L30CM-B	D	W9
PCAX159T62	T090128	LDCM79D2	0.022	2023-02-04T15:26:54Z	K3KL3L30CM-BGCT000-PMD9EA	3551	3482	MAGEPICU	m808	2	0	3482	1:1,2:2,27:1,271:1,306:2,312:3,318:1,322:3,338:2,339:1,355:1,857:1,1125:1,2017:1,2125:4,2342:2,2683:1,2684:2,2697:2,3017:1,3200:1,3201:1,3202:1,3205:1,3208:1,3215:2,3226:2,3287:1,3317:1,3325:1,3374:1,3375:1,3396:1,3828:2,3829:1,3833:6,3834:2,3835:1,3836:5,3872:2,3873:1,4252:1,4405:25,4450:2,4996:25,5001:3,5002:2,5027:1,5271:1,5272:3,5273:1,5274:3,5306:2,5307:2,5310:2,5311:2,5312:5,5313:6,5314:5,5315:6,5316:5,5317:6,5318:3,5319:4,5320:4,5321:5,5322:7,5323:7,5324:5,5325:6,5327:2,5338:2,5339:6,5343:4,5345:4,5349:2,5355:3,5367:2,5369:2,5370:3,5375:2,5401:5,5835:1,5836:1,5837:1,5838:1,5855:1,5857:1,5920:1,5921:1,5930:1,6030:5,6033:6,6034:4,6039:5,6040:3,6045:2,6046:2,6050:4,6052:4,6055:2,6067:1,6068:3,6082:5,6083:3,6098:4,6099:6,6123:7,6125:13,6300:2,6302:2,6304:2,6308:2,6315:6,6316:5,6325:2,6328:3,6330:4,6333:4,6334:2,6337:2,6340:3,6344:3,6345:2,6350:3,6351:6,6352:6,6353:6,6354:3,6359:2,6361:4,6362:4,6363:5,6372:2,6373:3,6382:8,6383:2,6398:3,6399:5,6402:1,6404:1,6423:5,6489:4,6493:2,6494:3,6555:3,7017:7,7019:6,7042:6,7050:5,7099:6,7125:18,7315:13,7342:14,7351:12,7382:6,7495:2,7683:11,7684:10,7689:7,7697:3,8000:6,8002:6,8004:6,8005:3,8008:6,8015:8,8017:7,8020:4,8022:5,8023:4,8025:4,8026:4,8027:6,8028:5,8030:3,8035:4,8037:4,8041:4,8042:6,8043:5,8044:7,8046:6,8047:7,8051:6,8054:7,8056:8,8063:8,8065:6,8070:4,8071:7,8074:7,8083:7,8088:4,8089:5,8090:3,8091:4,8109:3,8110:5,8112:3,8113:5,8115:5,8116:6,8118:5,8119:6,8128:5,8129:3,8131:3,8132:3,8160:6,8171:7,8172:4,8174:6,8200:7,8201:4,8202:8,8203:4,8204:8,8205:5,8208:11,8215:13,8216:12,8217:11,8220:7,8226:11,8227:8,8228:11,8230:9,8233:10,8234:8,8235:10,8237:6,8245:8,8246:6,8247:9,8248:5,8249:8,8251:9,8252:9,8256:10,8257:12,8260:7,8270:7,8273:9,8274:9,8278:8,8283:8,8287:10,8289:8,8291:6,8292:5,8293:5,8296:4,8301:2,8303:5,8306:6,8316:7,8317:7,8318:6,8325:10,8331:7,8372:5,8373:7,8374:8,8375:9,8377:7,8396:3,8397:1,8800:1,8801:1,8803:2,8810:5,8811:7,8812:5,8813:6,8815:2,8828:8,8829:5,8831:4,8832:7,8833:13,8834:6,8835:8,8836:7,8839:1,8840:5,8871:4,8872:5,8873:7,8874:6,8875:8,8877:6,9109:1,9110:2,9113:2,9115:3,9118:3,9119:3,9215:10,9219:6,9226:9,9228:8,9252:13,9302:4,9315:7,9346:3,9377:3,9405:63,9450:5,9473:2,9484:2,9485:2,9486:3,9996:63,	OY	ADAPS62	0.980568854	K3KL3L30CM-B	D	W5
PCAX159T72	T091128	LDCM79D2	0.022	2023-02-04T18:38:44Z	K3KL3L30CM-BGCT000-PMD9EA	3990	3936	MAGEPICU	m807	2	0	3936	1:2,2:5,863:1,935:1,1098:2,2496:1,2692:2,2705:4,3251:1,3830:2,3873:5,3926:1,4405:42,4451:8,4452:5,4453:2,4454:1,4455:2,4456:1,4457:1,4461:1,4463:2,4466:1,4468:1,4476:1,4488:1,4996:43,5001:6,5002:5,5027:2,5028:2,5863:1,5935:1,5982:1,6098:2,7472:1,7496:1,7692:2,7705:6,8251:1,8253:1,8375:5,8830:9,8873:5,8926:3,9405:52,9450:1,9451:11,9452:10,9453:7,9454:8,9455:6,9456:4,9457:7,9458:7,9459:2,9460:5,9461:5,9462:5,9463:13,9464:3,9465:9,9466:6,9467:6,9468:8,9469:6,9470:8,9471:4,9472:4,9473:6,9474:3,9475:2,9476:2,9477:6,9478:8,9479:5,9480:3,9481:2,9482:2,9488:7,9996:52,	OY	ADAPS62	0.986466165	K3KL3L30CM-B	D	W5
PCAX159T82	T091128	LDCM79D2	0.022	2023-02-04T23:41:40Z	K3KL3L30CM-BGCT000-PMD9EA	3482	3466	MAGEPICU	m804	2	0	3466	2:3,50:1,2705:2,3226:1,3251:1,3830:2,3926:1,4405:19,4450:1,4451:2,4455:1,4463:1,4996:19,5001:1,5002:3,5027:1,5028:2,5050:1,7705:3,8226:1,8251:1,8830:4,8926:1,9405:21,9450:1,9451:3,9453:1,9454:3,9455:3,9456:2,9460:1,9461:1,9463:2,9469:2,9470:1,9471:1,9473:1,9474:1,9477:1,9478:1,9479:2,9481:1,9482:1,9488:3,9996:21,	OY	ADAPS62	0.99540494	K3KL3L30CM-B	D	W5
